newspaper,link,town,state
Rochelle News-Leader,https://rochellenews-leader.com/,Rochelle,Illinois
The Rock Island Argus,https://qconline.com/,Not Specified,Illinois
Rockford Register Star,https://www.rrstar.com/,Rockford,Illinois
Rolling Meadows Review,https://www.chicagotribune.com/suburbs/homepage/rm/,Not Specified,Illinois
Roseville Independent,http://www.eaglepublications.com/roseville.html,Roseville,Illinois
Schaumburg Times,https://www.chicagotribune.com/suburbs/homepage/sc/,Schaumburg,Illinois
Skokie Review,https://www.chicagotribune.com/suburbs/homepage/sk/,Skokie,Illinois
Sparta News-Plaindealer,http://ns.egyptian.net/~leftypen/plain.htm,Sparta,Illinois
Southern Illinoisan,https://thesouthern.com/,Carbondale,Illinois
Star-Courier,https://www.starcourier.com/,Kewanee,Illinois
The State Journal-Register,https://www.sj-r.com/,Springfield,Illinois
Staunton Star-Times,https://www.stauntonstartimes.com/,Staunton,Illinois
Streator Times-Press,http://www.times-press.com/,Streator,Illinois
Sun Publications Newspapers,https://www.chicagotribune.com/suburbs/,Naperville,Illinois
The Telegraph,https://www.thetelegraph.com/,Alton,Illinois
The Telegraph,http://www.saukvalley.com/,Dixon,Illinois
Tinley Park Star,https://www.chicagotribune.com/suburbs/daily-southtown/index/spindex.html,Not Specified,Illinois
Vernon Hills Review,https://www.chicagotribune.com/suburbs/homepage/vh/,Not Specified,Illinois
Wednesday Journal,https://www.google.com/a/wjinc.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&ltmpl=default&ltmplcache=2&emr=1&osid=1,Not Specified,Illinois
West Proviso Herald ,https://www.chicagotribune.com/suburbs/cgi-bin/ppo-newsstand/?paper2=rf,Not Specified,Illinois
Wheaton Sun,https://www.chicagotribune.com/suburbs/,Naperville,Illinois
Wheeling Countryside,https://www.chicagotribune.com/suburbs/cgi-bin/ppo-newsstand/?paper2=rf,Wheeling,Illinois
Wilmette Life,https://www.chicagotribune.com/suburbs/cgi-bin/ppo-newsstand/?paper2=rf,Wilmette,Illinois
Winnetka Talk,https://www.chicagotribune.com/suburbs/cgi-bin/ppo-newsstand/?paper2=rf,Winnetka,Illinois
The Woodstock Independent,http://www.inde-news.com/,Woodstock,Illinois
Zephyr,http://www.thezephyr.com/,Galesburg,Illinois
Kansas Press Association,http://kspress.com/,Topeka,Kansas
Ark Valley News,http://www.arkvalleynews.com/web/isite.dll?985991279873,Not Specified,Kansas
The Arkansas City Traveler,http://www.arkcity.net/,Not Specified,Kansas
Atchison Daily Globe,http://www.atchisonglobeonline.com/,Atchison,Kansas
Augusta Daily Gazette,https://www.butlercountytimesgazette.com/,Augusta,Kansas
The Bulletin Online,http://www.esubulletin.com/,Emporia,Kansas
Baldwin City Signal,http://signal.baldwincity.com/,Not Specified,Kansas
Chanute Tribune,http://www.chanute.com/,Chanute,Kansas
Clay Center Dispatch,http://www.claycenter.com/,Not Specified,Kansas
The Coffeyville Journal,http://www.cjournal.com/,Coffeyville,Kansas
The Daily Reporter,http://www.derbydailyrep.com/,Derby,Kansas
The Daily Union,http://www.dailyu.com/,Not Specified,Kansas
Desoto Explorer,http://www.desotoexplorer.com/,Desoto,Kansas
Dodge City Daily Globe,https://www.dodgeglobe.com/,Not Specified,Kansas
Downs News & Times,http://www.downsnews.com/,Downs,Kansas
Emporia Gazette,http://www.emporiagazette.com/,Emporia,Kansas
Eureka Herald,https://www.eurekaherald.com/,Eureka,Kansas
Eudora News,http://www.eudoranews.com/,Eudora,Kansas
The Garden City Telegram,https://www.gctelegram.com/,Not Specified,Kansas
Great Bend Tribune,https://www.gbtribune.com/,Not Specified,Kansas
The Hays Daily News,http://www.dailynews.net/cgkUk/LbfPp/QOKSl/oYYMZ/YamQf/dYgWS/SWNZk/,Hays,Kansas
Hillsboro Free Press,http://www.hillsborofreepress.com/,Hillsboro,Kansas
Hillsboro Star Journal,http://www.starj.com/,Hillsboro,Kansas
The Hutchinson News,https://www.hutchnews.com/,Hutchinson,Kansas
Iola Register,https://www.iolaregister.com/,Iola,Kansas
The Kansas City Kansasn,https://www.snappypaydayloans.com/kansas-loans.php/,Not Specified,Kansas
Kansas City Star,https://www.kansascity.com/,Not Specified,Kansas
Lawrence Journal-World,http://www2.ljworld.com/,Lawrence,Kansas
Leavenworth Chronicle Shopper,http://www.leavenworthshopper.com/,Leavenworth,Kansas
The Leavenworth Times,http://www.leavenworthtimes.com/,Leavenworth,Kansas
McPherson Sentinel,https://www.mcphersonsentinel.com/,McPherson,Kansas
The Manhattan Mercury,https://themercury.com/,Manhattan,Kansas
Marion County Record,http://www.marionrecord.com/,Marion,Kansas
Marysville Advocate,http://www.mvleadvocate.com/,Marysville,Kansas
The Mirror,http://www.tonganoxiemirror.com/,Tonganoxie,Kansas
The Morning Sun,https://www.morningsun.net/,Pittsburg,Kansas
The Newton Kansan,https://www.thekansan.com/,Newton,Kansas
The Olathe Daily News,https://www.kansascity.com/news/local/community/joco-913/,Olathe,Kansas
Ottawa Herald,http://www.ottawaherald.com/,Ottawa,Kansas
Parsons Sun,https://www.parsonssun.com/,Parsons,Kansas
Pratt Tribune,http://www.pratttribune.com/,Pratt,Kansas
The Record,http://recordnews.com/,Not Specified,Kansas
Shawnee Journal Herald,http://www.shawneejournalherald.com/,Shawnee,Kansas
Smith County Pioneer,http://www.smithcountypioneer.com/,Not Specified,Kansas
Southwest Daily Times,http://204.233.65.165/swdtimes/html/,Liberal,Kansas
The Times-Sentinel,http://tsnews.com/tsnewswordpress/,Cheney,Kansas
The Topeka Capital-Journal,https://www.cjonline.com/,Topeka,Kansas
Wellington Daily News,http://www.wgtndailynews.com/,Wellington,Kansas
Wichita Business Journal,http://wichita.bcentral.com/wichita/,Wichita,Kansas
The Wichita Eagle,https://www.kansas.com/,Wichita,Kansas
Winfield Daily Courier,http://www.ctnewsonline.com/,Winfield,Kansas
The University Daily Kansan,http://www.kansan.com/,Lawrence,Kansas
New England Newspaper Association,http://www.nenews.org/,Salem,Massachusetts
New England Press Association,http://www.nepa.org/,Boston,Massachusetts
Andover Townsman,https://www.andovertownsman.com/,Andover,Massachusetts
Amesbury News,https://amesbury.wickedlocal.com/,Amesbury,Massachusetts
The Arlington Advocate,https://arlington.wickedlocal.com/,Lexington,Massachusetts
Athol Daily News,https://www.atholdailynews.com/,Athol,Massachusetts
Barnstable Patriot,https://www.barnstablepatriot.com/,Barnstable,Massachusetts
Beacon Hill Times,http://www.beaconhillonline.com/,Boston,Massachusetts
The Belmont Citizen-Herald,https://belmont.wickedlocal.com/,Arlington,Massachusetts
The Berkshire Eagle,https://www.berkshireeagle.com/,Pittsfield,Massachusetts
Berkshires Week,https://www.berkshireeagle.com/berkshires-week/,Not Specified,Massachusetts
Beverly Citizen,https://beverly.wickedlocal.com/,Beverly,Massachusetts
Boston Business Journal,http://boston.bcentral.com/boston/,Boston,Massachusetts
The Boston Globe,https://www.boston.com/?refresh=true/,Boston,Massachusetts
Boston Herald,https://www.bostonherald.com/,Boston,Massachusetts
Boston Online,https://www.boston.com/?refresh=true,Boston,Massachusetts
Brookline Tab,https://brookline.wickedlocal.com/,Brookline,Massachusetts
Cambridge Chronicle,https://cambridge.wickedlocal.com/,Cambridge,Massachusetts
The Cape Cod Chronicle,https://capecodchronicle.com/,Chatham,Massachusetts
Cape Cod Online,http://capecodonline.com/,Hyannis,Massachusetts
Cape Cod Times,http://www.capecodtimes.com/news,Hyannis,Massachusetts
Cape Cod Today,http://capecodtoday.com/,Orleans,Massachusetts
Chelsea Independent,http://www.chelseaindependent.com/,Revere,Massachusetts
The Christian Science Monitor,https://www.csmonitor.com/,Boston,Massachusetts
Community Advocate,https://www.communityadvocate.com/,Westborough,Massachusetts
Concord Journal,https://concord.wickedlocal.com/,Concord,Massachusetts
Daily Hampshire Gazette,https://www.gazettenet.com/,Northampton,Massachusetts
The Daily News,https://www.newburyportnews.com/,Newburyport,Massachusetts
Danvers Herald,https://www.wickedlocal.com/north/danvers/,Danvers,Massachusetts
Dorchester Reporter,https://www.dotnews.com/,Boston,Massachusetts
Duxbury Clipper,https://www.duxburyclipper.com/,Duxbury,Massachusetts
Eagle-Tribune,https://www.eagletribune.com/,Lawrence,Massachusetts
The Enterprise,https://www.enterprisenews.com/,Brockton,Massachusetts
Everett Independent,http://everettindependent.com/,Everett,Massachusetts
Foxboro Reporter,https://www.thesunchronicle.com/foxboro_reporter/,Foxboro,Massachusetts
Georgetown Record,https://georgetown.wickedlocal.com/,Danvers,Massachusetts
Gloucester Times,https://www.gloucestertimes.com/,Beverly,Massachusetts
Hamilton-Wenham Chronicle,https://hamilton.wickedlocal.com/,Danvers,Massachusetts
The Haverhill Gazette,https://www.hgazette.com/,Haverhill,Massachusetts
The Herald News,https://www.heraldnews.com/,Not Specified,Massachusetts
The Inquirer and Mirror,https://www.ack.net/,Nantucket,Massachusetts
Ipswich Chronicle,https://ipswich.wickedlocal.com/,Danvers,Massachusetts
The Jewish Advocate,https://www.thejewishadvocate.com/,Boston,Massachusetts
The Landmark,https://www.thelandmark.com/,Holden,Massachusetts
Lexington Minuteman,https://lexington.wickedlocal.com/,Lexington,Massachusetts
The Lowell Sun,http://www.lowellsun.com/,Lowell,Massachusetts
Lynnfield Weekly News,http://www.weeklynews.net/,Lynnfield,Massachusetts
Lynn Sunday Post,https://www.wickedlocal.com/lynn/,Lynn,Massachusetts
Malden Observer,https://malden.wickedlocal.com/,Melrose,Massachusetts
Marblehead Reporter,https://marblehead.wickedlocal.com/,Marblehead,Massachusetts
Martha’s Vineyard Times,https://www.mvtimes.com/,Not Specified,Massachusetts
Merrimack River Current,https://www.wickedlocal.com/north/newburyport/,Newburyport,Massachusetts
Massachusetts News,https://www.massnews.com/,Wellesley,Massachusetts
Melrose Free Press,https://melrose.wickedlocal.com/,Melrose,Massachusetts
Moosehead Messenger,https://www.hugedomains.com/domain_profile.cfm?d=moosemessenger&e=com,Greenville,Massachusetts
North Adams Transcript,http://www.thetranscript.com/,Not Specified,Massachusetts
North Andover Citizen,https://northandover.wickedlocal.com/,Not Specified,Massachusetts
The Patriot Ledger,http://ledger.southofboston.com/,Quincy,Massachusetts
Peabody Weekly News,http://www.weeklynews.net/,Peabody,Massachusetts
Pittsfield Gazette,http://pittsfieldgazette.com/,Pittsfield,Massachusetts
Pittsfield Pigeon,https://www.varsitytutors.com/news/newsbody.html,Pittsfield,Massachusetts
The Port Planet,https://www.theportplanet.com/,Newburyport,Massachusetts
Portuguese Times,https://www.portuguesetimes.com/,Not Specified,Massachusetts
Provincetown Banner,https://www.provincetown.com/,Provincetown,Massachusetts
Provincetown Daily,http://provincetowndaily.com/,Provincetown,Massachusetts
The Recorder,https://www.recorder.com/,Greenfield,Massachusetts
The Reminder,https://www.thereminder.com/,Not Specified,Massachusetts
Revere Independent,http://www.revereindependent.com/cgi-sys/suspendedpage.cgi,Revere,Massachusetts
The Salem Evening News,https://www.salemnews.com/,Salem,Massachusetts
Saugus Advertiser,https://saugus.wickedlocal.com/,Melrose,Massachusetts
Sentinel & Enterprise,https://www.medianewsgroup.com/properties,Fitchburg,Massachusetts
The Somerville Journal,https://somerville.wickedlocal.com/,Somerville,Massachusetts
South Boston Online,https://southbostononline.com/,Boston,Massachusetts
South Boston Tribune,https://www.southbostoninfo.com/,Boston,Massachusetts
Springfield Journal,http://www.springfieldjournal.com/,Springfield,Massachusetts
The Standard-Times,https://www.s-t.com/,Not Specified,Massachusetts
The Stoneham Independent,https://www.stonehamindependent.com/,Stoneham,Massachusetts
Sudbury Town Crier,https://sudbury.wickedlocal.com/,Needham,Massachusetts
The Sun Chronicle,https://www.thesunchronicle.com/,Attleboro,Massachusetts
Swampscott Reporter,https://swampscott.wickedlocal.com/,Marblehead,Massachusetts
Taunton Daily Gazette,https://www.tauntongazette.com/,Taunton,Massachusetts
Telegram & Gazette,https://www.telegram.com/,Worcester,Massachusetts
Union-News,https://www.masslive.com/news/,Springfield,Massachusetts
Valley Advocate,https://valleyadvocate.com/,Hatfield,Massachusetts
The Vineyard Gazette,https://vineyardgazette.com/,Edgartown,Massachusetts
Walpole Times,https://walpole.wickedlocal.com/,Walpole,Massachusetts
The Wanderer,https://www.wanderer.com/,Mattapoisett,Massachusetts
Watertown Tab & Press,https://watertown.wickedlocal.com/,Needham,Massachusetts
Wayland Town Crier & Tab,https://wayland.wickedlocal.com/,Framingham,Massachusetts
The Wellesley Townsman,https://wellesley.wickedlocal.com/,Wellesley,Massachusetts
Winthrop Independent,http://www.winthropindependent.com/,Winthrop,Massachusetts
Worcester Business Journal,https://www.wbjournal.com/,Worcester,Massachusetts
Bay State College,https://www.baystate.edu/,Not Specified,Massachusetts
Berkshire Community College,http://cc.berkshire.org/,Not Specified,Massachusetts
Bristol Community College,http://www.bristol.mass.edu/,Not Specified,Massachusetts
Bryman Institute – Brighton,http://www.bryman-institute.com/default.htm,Not Specified,Massachusetts
Bunker Hill Community College,https://www.bhcc.edu/,Not Specified,Massachusetts
Dean College,https://www.dean.edu/,Not Specified,Massachusetts
Fisher College,https://www.fisher.edu/,Not Specified,Massachusetts
Greenfield Community College,https://www.gcc.mass.edu/,Not Specified,Massachusetts
Holyoke Community College,http://www.hcc.mass.edu/,Not Specified,Massachusetts
Massachusetts Bay Community College,http://www.mbcc.mass.edu/,Not Specified,Massachusetts
Middlesex Community College,https://www.middlesex.mass.edu/,Not Specified,Massachusetts
Mt. Wachusett Community College,http://www.mwcc.mass.edu/,Not Specified,Massachusetts
Newbury College,https://newbury.edu/,Not Specified,Massachusetts
Northern Essex Community College,https://www.necc.mass.edu/,Not Specified,Massachusetts
Quincy College,http://www.quincycollege.com/,Not Specified,Massachusetts
Quinsigamond Community College,http://www.qcc.mass.edu/,Not Specified,Massachusetts
Springfield Technical Community College,http://www.stcc.mass.edu/,Not Specified,Massachusetts
Iowa Newspaper Association,https://inanews.com/,Not Specified,Iowa
Ames Tribune,http://www.amestribune.com/,Ames,Iowa
Albia Union-Republican,http://www.albianews.com/,Albia,Iowa
The Bloomfield Democrat,https://www.bdemo.com/,Bloomfield,Iowa
Burlington Hawk Eye,https://www.thehawkeye.com/,Burlington,Iowa
Catholic Globe,http://catholicglobe.org/,Not Specified,Iowa
Cedar Rapids Gazette,http://www.gazetteonline.com/go_frontpage/,Not Specified,Iowa
Charles City Press,http://www.charlescitypress.com/charlescitypress/,Not Specified,Iowa
Clear Lake Mirror Reporter,http://www.clreporter.com/,Not Specified,Iowa
Clinton Herald,https://www.clintonherald.com/,Clinton,Iowa
Daily Democrat,http://www.mississippivalleypublishing.com/daily_democrat/,Not Specified,Iowa
Daily Gate City,http://www.mississippivalleypublishing.com/daily_gate/,Keokuk,Iowa
The Daily Iowan,https://dailyiowan.com/,Not Specified,Iowa
Daily Iowegian,http://www.zwire.com/news/newslist.cfm?brd=1284,Centerville,Iowa
The Daily Nonpareil,https://www.nonpareilonline.com/,Not Specified,Iowa
Davenport Leader,https://qconline.com/,Davenport,Iowa
Davenport Quad-City Times,https://qctimes.com/,Davenport,Iowa
Des Moines Catholic Mirror,https://www.dmdiocese.org/latest.htm,Not Specified,Iowa
Des Moines Today,https://www.desmoinesregister.com/,Not Specified,Iowa
Des Moines Register,https://www.desmoinesregister.com/,Not Specified,Iowa
Dubuque Telegraph Herald,http://www.telegraphherald.com/,Dubuque,Iowa
The Dunlap Reporter,https://www.dunlapiowa.com/,Dunlap,Iowa
Fairfield Daily Ledger,https://www.ffledger.com/,Fairfield,Iowa
Fort Dodge Messenger,http://www.messengernews.net/,Not Specified,Iowa
Fort Madison Daily Democrat,http://www.mississippivalleypublishing.com/daily_democrat/,Not Specified,Iowa
 Glenwood Net,http://glenwoodnet.com/,Glenwood,Iowa
Globe-Gazette,https://globegazette.com/,Not Specified,Iowa
Harlan Online,http://www.harlanonline.com/,Harlan,Iowa
The Hawk Eye,https://www.thehawkeye.com/,Burlington,Iowa
Humboldt Independent,http://www.zwire.com/site/news.cfm?brd=1775,Humboldt,Iowa
Ida County Courier,http://www.idacountycourier.com/,Not Specified,Iowa
Independent,http://www.belmondnews.com/,Belmond,Iowa
Iowa Falls Times-Citizen,http://www.zwire.com/site/news.cfm?brd=1813,Not Specified,Iowa
Iowa State Daily,http://www.iowastatedaily.com/,Ames,Iowa
Keokuk Daily Gate City,http://www.mississippivalleypublishing.com/daily_gate/,Keokuk,Iowa
LeMars Daily Sentinel,http://www.lemarssentinel.com/,LeMars,Iowa
Mapleton Press,http://www.zwire.com/site/news.cfm?brd=1977,Mapleton,Iowa
Marshalltown Times Republican,http://www.timesrepublican.com/,Marshalltown,Iowa
Mason City Globe-Gazette,https://globegazette.com/,Not Specified,Iowa
Monticello Express,http://www.monticelloexpress.com/,Monticello,Iowa
Mount Ayr Record-News,https://www.mtayrnews.com/,Not Specified,Iowa
Mount Pleasant News,http://www.zwire.com/news/newslist.cfm?brd=1141,Not Specified,Iowa
Muscatine Journal,https://muscatinejournal.com/,Muscatine,Iowa
The Newton Daily News,http://www.newtondailynews.com/,Newton,Iowa
Osceola Sentinel-Tribune,http://www.osceolaiowa.com/,Osceola,Iowa
Oskaloosa Herald,http://www.oskaloosaherald.com/,Oskaloosa,Iowa
The Ottumwa Courier,http://www.ottumwacourier.com/,Ottumwa,Iowa
Press-Citizen,https://www.press-citizen.com/,Not Specified,Iowa
Quad-City Times,https://qctimes.com/,Davenport,Iowa
River Cities Reader,https://www.rcreader.com/,Davenport,Iowa
Sioux City Journal,https://siouxcityjournal.com/,Not Specified,Iowa
Southwest Iowa Now,http://swiowanow.com/,Not Specified,Iowa
Spencer Daily Reporter,http://www.spencerdailyreporter.com/,Spencer,Iowa
Storm Lake Times,https://www.stormlake.com/,Not Specified,Iowa
Telegraph Herald,http://www.telegraphherald.com/,Dubuque,Iowa
Times-Citizen,http://www.zwire.com/site/news.cfm?brd=1813,Not Specified,Iowa
The Washington Evening Journal,https://www.washjrnl.com/,Washington,Iowa
Waterloo/Cedar Falls Courier,https://wcfcourier.com/,Waterloo,Iowa
Waukon Standard,http://www.waukonstandard.com/,Waukon,Iowa
West Liberty Index,http://www.zwire.com/news/newslist.cfm?brd=1105,Not Specified,Iowa
Maine Press Association,http://www.mainepress.org/,Portland,Maine
Advertiser Democrat,https://www.sunjournal.com/advertiser-democrat/,Norway,Maine
Bangor Daily News,https://bangordailynews.com/,Bangor,Maine
Bar Harbor Times,http://www.zwire.com/news/newslist.cfm?brd=1465,Not Specified,Maine
The Bates Student ,https://thebatesstudent.com/,Lewiston,Maine
Boothbay Register,https://boothbayregister.maine.com/,Not Specified,Maine
Camden Hearld,http://www.zwire.com/news/newslist.cfm?brd=1470,Camden,Maine
The Cape Courier,http://www.biddeford.com/~courier/,Not Specified,Maine
Capitol Weekly,http://www.zwire.com/news/newslist.cfm?brd=1469,Augusta,Maine
Casco Bay Weekly,http://www.cascobayweekly.com,Portland,Maine
The Ellsworth American,https://www.ellsworthamerican.com/,Ellsworth,Maine
Ellsworth Weekly,http://www.zwire.com/news/newslist.cfm?brd=1468,Ellsworth,Maine
The Free Press,https://freepressonline.com/,Rockland,Maine
The Gray News,http://graynews.maine.com/,Gray,Maine
Journal Tribune,https://www.journaltribune.com/,Biddeford,Maine
Kennebec Business Monthly ,http://www.kennbizmo.com/,Augusta,Maine
The Kennebec Journal,https://www.centralmaine.com/,Augusta,Maine
Lincoln County News,http://lcnews.maine.com/,Damariscotta,Maine
Lincoln County Weekly,http://www.zwire.com/news/newslist.cfm?brd=1467,Damariscotta,Maine
Maine Times,http://www.mainetimes.com,Bangor,Maine
Morning Sentinel,https://www.centralmaine.com/,Waterville,Maine
New Gloucester News,http://www.newgloucesternews.com,Not Specified,Maine
Portland Press Herald,http://www.portland.com/,Portland,Maine
The Republican Journal,http://www.zwire.com/news/newslist.cfm?brd=1466,Belfast,Maine
Rumford Falls Times,https://www.sunjournal.com/rumford-falls-times/,Rumford,Maine
Sun-Journal,https://www.sunjournal.com/,Lewiston,Maine
The Times Record,https://www.timesrecord.com/,Brunswick,Maine
Wiscasset Newspaper,https://wiscassetnewspaper.maine.com/,Wiscasset,Maine
York County Coast Star,http://www.coaststar.com/news/yorkstar/,Kennebunk,Maine
York Weekly,https://www.seacoastonline.com/YorkWeekly,York,Maine
Mississippi Press Association,https://www.mspress.org/default.aspx,Jackson,Mississippi
The Bolivar Commercial,https://bolivarcommercial.com/,Cleveland,Mississippi
The Clarion-Ledger,https://www.clarionledger.com/,Jackson,Mississippi
Daily Leader,https://www.dailyleader.com/,Brookhaven,Mississippi
Daily Times Leader,https://www.dailytimesleader.com/,Not Specified,Mississippi
Delta Democrat Times,https://www.ddtonline.com/,Greenville,Mississippi
DeSoto County Tribune,http://www.dctribune.com,Not Specified,Mississippi
DeSoto Times Today,http://www.desototimes.com/,Southaven,Mississippi
The Democrat,http://www.taterecord.com/v2/content.aspx?IsHome=1&MemberID=2368&module=Page&ID=71905,Senatobia,Mississippi
Enterprise-Journal,http://www.enterprise-journal.com/,McComb,Mississippi
Greenwood Commonwealth,https://www.gwcommonwealth.com/,Greenwoood,Mississippi
The Hattiesburg American,https://www.hattiesburgamerican.com/,Hattiesburg,Mississippi
Jackson Progressive,http://www.jacksonprogressive.com/,Jackson,Mississippi
Madison County Journal,http://www.onlinemadison.com/,Ridgeland,Mississippi
Meridian Star,http://www.meridianstar.com,Meridian,Mississippi
Miss-Lou Magazine,https://www.hugedomains.com/domain_profile.cfm?d=missloumagazine&e=com,Natchez,Mississippi
Mississippi Business Journal,https://msbusiness.com/,Jackson,Mississippi
The Mississippi Press,https://www.gulflive.com/mississippi/,Pascagoula,Mississippi
The Natchez Democrat,https://www.natchezdemocrat.com/,Natchez,Mississippi
Northeast Mississippi Daily Journal,https://www.djournal.com/,Tupelo,Mississippi
The Oxford Eagle,https://www.oxfordeagle.com/,Oxford,Mississippi
Picayune Item,http://www.picayuneitem.com/,Picayune,Mississippi
The South Reporter,https://www.southreporter.com/,Not Specified,Mississippi
Starkville Daily News,https://www.starkvilledailynews.com/,Starkville,Mississippi
The Sun Herald,https://www.sunherald.com/,Biloxi,Mississippi
The Times,http://www.thetimeswire.com/,Hattiesburg,Mississippi
Vicksburg Post,https://www.vicksburgpost.com/,Vicksburg,Mississippi
Winston County Journal,http://www.winstoncountyjournal.com,Louisville,Mississippi
Michigan Press Association,https://michiganpress.org/,Lansing,Michigan
The Allegan County News,http://www.allegannews.com/,Allegan,Michigan
Alpena News,http://www.oweb.com/,Alpena,Michigan
The Ann Arbor News,http://aa.mlive.com/news/,Not Specified,Michigan
Antrim County News,https://www.themorningsun.com/,Bellaire,Michigan
Bay City Times,http://bc.mlive.com/news/,Not Specified,Michigan
Belleville Enterprise,http://www.micomnews.com/html/belleville.html,Belleville,Michigan
Birmingham/Bloomfield Eccentric,https://www.hometownlife.com/,Birmingham,Michigan
Business Update,https://www.businessupdate.com/,Not Specified,Michigan
Cadillac News,https://www.cadillacnews.com/,Cadillac,Michigan
Canton Eagle,http://www.micomnews.com/html/canton.html,Canton,Michigan
Canton Observer,https://www.hometownlife.com/,Plymouth,Michigan
Cheboygan Daily Tribune,https://www.cheboygannews.com/,Cheboygan,Michigan
The Chelsea Standard,http://www.thenewsherald.com/,Chelsea,Michigan
Clarkston Eccentric,https://www.hometownlife.com/,Clarkston,Michigan
Crain’s Detroit Business,https://www.crainsdetroit.com/,Detroit,Michigan
Daily Mining Gazette,http://www.upgroup.com/gazette/,Houghton,Michigan
The Daily News,http://www.staffordgroup.com/,Greenville,Michigan
Daily News,http://www.upgroup.com/dnews/,Not Specified,Michigan
Daily Press,http://www.upgroup.com/dpress/,Escanaba,Michigan
The Daily Reporter,https://www.thedailyreporter.com/,Coldwater,Michigan
Daily Telegram,https://www.lenconnect.com/,Adrian,Michigan
Daily Tribune,https://www.dailytribune.com/,Not Specified,Michigan
Dearborn Press & Guide,http://www.pressandguide.com/,Not Specified,Michigan
Detroit Free Press,https://www.freep.com/,Detroit,Michigan
The Detroit News,https://www.detroitnews.com/,Detroit,Michigan
Dexter Leader,http://www.thenewsherald.com/,Chelsea,Michigan
Dowagiac Daily News,http://www.dowagiacnews.com/,Dowagiac,Michigan
The Evening News,https://www.sooeveningnews.com/,Not Specified,Michigan
The Exponent,http://theexponent.com/,Brooklyn,Michigan
Farmington Observer,https://www.hometownlife.com/,Farmington,Michigan
Flint Journal,http://fl.mlive.com/news/,Flint,Michigan
Garden City Observer,https://www.hometownlife.com/,Not Specified,Michigan
Gaylord Herald Times,https://www.petoskeynews.com/gaylord/,Gaylord,Michigan
Gladwin County Record,https://www.gladwinmi.com/,Gladwin,Michigan
Grand Haven Tribune,https://www.grandhaventribune.com/,Not Specified,Michigan
Grand Rapids Press,http://gr.mlive.com/news/,Not Specified,Michigan
Grosse Pointe News,https://www.grossepointenews.com/,Not Specified,Michigan
Herald-Palladium,https://www.heraldpalladium.com/,Not Specified,Michigan
Holland Sentinel,http://www.thehollandsentinel.net/news/,Holland,Michigan
Houghton Lake Resorter,https://www.houghtonlakeresorter.com/,Not Specified,Michigan
The Ile Camera,http://www.thenewsherald.com/,Not Specified,Michigan
The Independent,https://dundeeonline.com/,Dundee,Michigan
Inkster Ledger Star,http://www.micomnews.com/html/inkster.html,Inkster,Michigan
Insider Business Journal,https://www.buydomains.com/lander/insiderbiz.com?domain=insiderbiz.com&utm_source=insiderbiz.com&utm_medium=click&utm_campaign=TDFS-OO-BDLander_Invisible&traffic_id=TDFS-OO-BDLander_Invisible&traffic_type=tdfs&redirect=ono-redirect,Brighton,Michigan
Jackson Citizen Patriot,http://ja.mlive.com/,Jackson,Michigan
Kalamazoo Gazette,http://kz.mlive.com/news/,Kalamazoo,Michigan
The Kalkaskian,https://www.themorningsun.com/,Kalkaska,Michigan
Lake Orion Eccentric,https://www.hometownlife.com/,Not Specified,Michigan
Lansing State Journal,https://www.lansingstatejournal.com/,Lansing,Michigan
The Lapeer County Press,http://www.countypress.com/,Lapeer,Michigan
The Leelanau Enterprise,https://www.leelanaunews.com/,Leland,Michigan
Livingston County Press,https://www.hometownlife.com/,Howell,Michigan
Livonia Observer,http://www.hometownlife.com/,Livonia,Michigan
Ludington Daily News,https://www.shorelinemedia.net/ludington_daily_news/,Ludington,Michigan
Mackinac Town Crier,http://www.mackinac.com/,Not Specified,Michigan
The Macomb Daily,https://www.macombdaily.com/,Not Specified,Michigan
Manchester Enterprise,http://www.thenewsherald.com/,Manchester,Michigan
The Marlette Leader,http://www.marletteleader.com/,Marlette,Michigan
Metro Times,https://www.metrotimes.com/,Detroit,Michigan
Midland Daily News,https://www.ourmidland.com/,Midland,Michigan
Milan News,http://www.thenewsherald.com/,Saline,Michigan
Mining Journal,http://upgroup.com/journal/,Marquette,Michigan
The Monroe Evening News,https://www.monroenews.com/,Monroe,Michigan
Monroe Guardian,http://www.thenewsherald.com/,Monroe,Michigan
Muskegon Chronicle,http://mu.mlive.com/news/,Muskegon,Michigan
The News Herald,http://www.thenewsherald.com/,Southgate,Michigan
Newsweekly,https://www.theoaklandpress.com/,Sebewaing,Michigan
Niles Daily Star,http://www.nilesstar.com/,Niles,Michigan
Northern Express,https://www.northernexpress.com/,Not Specified,Michigan
Norway Current,http://www.norwaycurrent.com/,Norway,Michigan
The Oakland Press,https://www.theoaklandpress.com/,Pontiac,Michigan
Oceana’s Herald-Journal,https://www.shorelinemedia.net/oceanas_herald_journal/,Hart,Michigan
Oxford Eccentric,https://www.hometownlife.com/,Oxford,Michigan
Penasee Globe,http://www.penasee.com/,Wayland,Michigan
Petoskey News-Review,https://www.petoskeynews.com/,Petoskey,Michigan
Idaho Newspaper Association,http://www.idahopapers.com/,Boise,Idaho
Arbiter Online,https://arbiteronline.com/,Boise,Idaho
Boise Weekly,https://www.boiseweekly.com/,Boise,Idaho
